date,start_value,end_value,daily_pnl,daily_return_pct,trades_executed,positions_open,drawdown_pct
2024-09-03,80146.1340799996,79955.49414799963,-190.63993199996185,-0.2378654119606948,1254,1,20.03577179416198
2024-09-04,79955.49414799963,79799.96626699963,-155.5278810000018,-0.19451806615329745,1261,1,20.205792994163144
2024-09-05,79799.96626699963,79716.08891899964,-83.87734799999453,-0.10510950307842555,1265,1,20.284981179149508
2024-09-06,79716.08891899964,79628.97511999965,-87.11379899998428,-0.10928007154051617,1273,0,20.39206444371218
2024-09-08,79628.97511999965,79620.86706199966,-8.108057999997982,-0.010182296064691605,1273,1,20.39206444371218
2024-09-09,79620.86706199966,79397.38161799965,-223.48544400000537,-0.28068702621133274,1284,0,20.602781825937793
2024-09-10,79397.38161799965,79258.61253199964,-138.7690860000148,-0.17477791228389247,1292,0,20.74155062627391
2024-09-11,79258.61253199964,79102.30655899958,-156.3059730000532,-0.19721007977138977,1303,0,20.8978562775094
2024-09-12,79102.30655899958,79025.60411899956,-76.70244000002276,-0.09696612315952273,1307,1,20.97858155133159
2024-09-13,79025.60411899956,78788.44714399954,-237.15697500001988,-0.300101438823423,1318,0,21.212514802765998
2024-09-15,78788.44714399954,78759.02631199954,-29.42083200000343,-0.0373415558580965,1319,1,21.2425398149577
2024-09-16,78759.02631199954,78571.77510199958,-187.25120999995852,-0.2377520631834289,1330,1,21.428518642109083
2024-09-17,78571.77510199958,78478.52908999959,-93.2460119999887,-0.11867621913713856,1339,0,21.530978772188757
2024-09-18,78478.52908999959,78373.43790799959,-105.09118200000376,-0.13391074376468579,1348,1,21.71436895866904
2024-09-19,78373.43790799959,78330.45526699958,-42.98264100000961,-0.05484337825076111,1353,1,21.71436895866904
2024-09-20,78330.45526699958,78235.51900099959,-94.9362659999897,-0.12119968622215592,1360,1,21.766490047374663
2024-09-22,78235.51900099959,78238.18700099959,2.6680000000051223,0.0034102157614254907,1360,1,21.766490047374663
2024-09-23,78238.18700099959,78158.58477699957,-79.60222400001658,-0.101743441471873,1369,0,21.84368623446169
2024-09-24,78158.58477699957,78082.43692699958,-76.14784999999392,-0.09742736542282254,1375,1,21.923599797954825
2024-09-25,78082.43692699958,78027.73823099957,-54.69869600000675,-0.07005249599361937,1382,0,21.972422393450586
2024-09-26,78027.73823099957,77895.10052699955,-132.6377040000225,-0.16998788765009593,1391,1,22.109023816248374
2024-09-27,77895.10052699955,77852.06720699953,-43.03332000001683,-0.05524522044246013,1399,0,22.16136371650358
2024-09-29,77852.06720699953,77852.06720699953,0.0,0.0,1399,0,22.16136371650358
2024-09-30,77852.06720699953,77757.84261299955,-94.22459399998479,-0.12103030449975416,1409,0,22.250873116243092
2024-10-01,77757.84261299955,77630.80766499953,-127.03494800001499,-0.1633725213188686,1418,1,22.379974120480945
2024-10-02,77630.80766499953,77582.24993899952,-48.557726000013645,-0.06254955662648128,1425,1,22.418655766852464
2024-10-03,77582.24993899952,77454.9659509995,-127.28398800002469,-0.1640632852232361,1435,1,22.55269547892369
2024-10-04,77454.9659509995,77362.48208499952,-92.48386599998048,-0.11940340411289929,1444,0,22.640059417079765
2024-10-06,77362.48208499952,77357.00347499951,-5.478610000005574,-0.007081740208368869,1444,1,22.64706776065268
2024-10-07,77357.00347499951,77297.0492529995,-59.95422200001485,-0.07750328904530415,1450,2,22.71688783892388
2024-10-08,77297.0492529995,77234.05405899952,-62.99519399997371,-0.08149754047374479,1458,2,22.760754502621694
2024-10-09,77234.05405899952,77128.07258099958,-105.98147799994331,-0.13722117696810718,1469,2,22.876344182673343
2024-10-10,77128.07258099958,76937.56527099959,-190.50730999998632,-0.24700125858832575,1481,1,23.062593109268736
2024-10-11,76937.56527099959,76862.58460099957,-74.98067000001902,-0.09745651520932883,1487,0,23.152003423212253
2024-10-13,76862.58460099957,76861.87286299957,-0.7117379999981495,-0.0009259875968168959,1487,1,23.152003423212253
2024-10-14,76861.87286299957,76811.61066299956,-50.262200000011944,-0.06539289003482972,1491,1,23.196333441956273
2024-10-15,76811.61066299956,76778.05100099953,-33.559662000028766,-0.043690871354419576,1495,1,23.235221023903875
2024-10-16,76778.05100099953,76675.98942299956,-102.06157799997891,-0.1329306705097922,1503,1,23.324500418116873
2024-10-17,76675.98942299956,76580.39618699954,-95.59323600001517,-0.12467166934443397,1510,1,23.42470344784294
2024-10-18,76580.39618699954,76440.97555299956,-139.42063399998005,-0.18205786459961984,1520,0,23.559181805011146
2024-10-20,76440.97555299956,76422.02017299956,-18.955379999999423,-0.024797407232011195,1521,1,23.57972114272969
2024-10-21,76422.02017299956,76268.07052499954,-153.94964800002344,-0.20144671346232607,1533,0,23.732086477076525
2024-10-22,76268.07052499954,76160.05359899954,-108.0169259999966,-0.14162797781096384,1542,0,23.840103180717655
2024-10-23,76160.05359899954,76067.75309499957,-92.3005039999698,-0.1211928033637601,1551,0,23.93240349471189
2024-10-24,76067.75309499957,75957.30540899959,-110.44768599998497,-0.1451964617149253,1558,1,24.049298940075577
2024-10-25,75957.30540899959,75847.91989099959,-109.3855179999955,-0.14400921334820715,1567,0,24.152236246172965
